SIMILARITY,GROUP,Musly_simi
2.928571429,FULL_SIMI,56.5226
2.535714286,FULL_SIMI,79.0443
3,FULL_SIMI,73.3448
1.857142857,FULL_SIMI,29.3023
1.964285714,FULL_SIMI,16.7411
1.821428571,FULL_SIMI,84.6419
2.5,FULL_SIMI,51.7859
1.892857143,FULL_SIMI,4.7242
3.142857143,FULL_SIMI,11.3275
1.928571429,FULL_SIMI,80.927
1.785714286,FULL_SIMI,81.3652
2.214285714,FULL_SIMI,33.6793
3.178571429,FULL_SIMI,20.1571
2.535714286,FULL_SIMI,70.9559
3.678571429,FULL_SIMI,6.6024
3,FULL_SIMI,32.8293
3,FULL_SIMI,0.4618
3.142857143,FULL_SIMI,88.9442
2.285714286,FULL_SIMI,48.3421
2.321428571,FULL_SIMI,31.7829
1.785714286,FULL_SIMI,10.9681
3.178571429,FULL_SIMI,73.3134
3.178571429,FULL_SIMI,18.9311
2,FULL_SIMI,35.3638
3.107142857,FULL_SIMI,72.3328
2.571428571,FULL_SIMI,9.1901
3.25,FULL_SIMI,33.2836
3.428571429,FULL_SIMI,72.4676
2.714285714,FULL_SIMI,64.8949
2.571428571,FULL_SIMI,14.1962
2.535714286,FULL_SIMI,8.4194
2.821428571,FULL_SIMI,14.1512
1.928571429,FULL_SIMI,43.0211
2.285714286,FULL_SIMI,7.2387
3.178571429,FULL_SIMI,96.29422
2.75,FULL_SIMI,48.7948
2.607142857,FULL_SIMI,72.9005
3.821428571,FULL_SIMI,70.448
3,FULL_SIMI,10.7535
3.107142857,FULL_SIMI,30.7863
1.956521739,MELODY_SIMI,56.5226
3.391304348,MELODY_SIMI,79.0443
3.260869565,MELODY_SIMI,73.3448
2.173913043,MELODY_SIMI,29.3023
2,MELODY_SIMI,16.7411
1.913043478,MELODY_SIMI,84.6419
2.347826087,MELODY_SIMI,51.7859
2.130434783,MELODY_SIMI,4.7242
3.652173913,MELODY_SIMI,11.3275
2.434782609,MELODY_SIMI,80.927
2.260869565,MELODY_SIMI,81.3652
2,MELODY_SIMI,33.6793
3.739130435,MELODY_SIMI,20.1571
1.869565217,MELODY_SIMI,70.9559
1.695652174,MELODY_SIMI,6.6024
2.434782609,MELODY_SIMI,32.8293
3.347826087,MELODY_SIMI,0.4618
2.608695652,MELODY_SIMI,88.9442
2.260869565,MELODY_SIMI,48.3421
2.217391304,MELODY_SIMI,31.7829
2.434782609,MELODY_SIMI,10.9681
3.086956522,MELODY_SIMI,73.3134
3.52173913,MELODY_SIMI,18.9311
1.391304348,MELODY_SIMI,35.3638
3.260869565,MELODY_SIMI,72.3328
2.434782609,MELODY_SIMI,9.1901
3.391304348,MELODY_SIMI,33.2836
3.52173913,MELODY_SIMI,72.4676
2.826086957,MELODY_SIMI,64.8949
1.869565217,MELODY_SIMI,14.1962
3.217391304,MELODY_SIMI,8.4194
2.565217391,MELODY_SIMI,14.1512
2.869565217,MELODY_SIMI,43.0211
2.956521739,MELODY_SIMI,7.2387
2.304347826,MELODY_SIMI,96.29422
2.260869565,MELODY_SIMI,48.7948
2.739130435,MELODY_SIMI,72.9005
3.913043478,MELODY_SIMI,70.448
2.434782609,MELODY_SIMI,10.7535
3.043478261,MELODY_SIMI,30.7863
1.391304348,LYRICS_SIMI,56.5226
1.565217391,LYRICS_SIMI,79.0443
1.347826087,LYRICS_SIMI,73.3448
2.434782609,LYRICS_SIMI,29.3023
2.130434783,LYRICS_SIMI,16.7411
1.826086957,LYRICS_SIMI,84.6419
2.782608696,LYRICS_SIMI,51.7859
1.782608696,LYRICS_SIMI,4.7242
,LYRICS_SIMI,11.3275
1.565217391,LYRICS_SIMI,80.927
1.739130435,LYRICS_SIMI,81.3652
2.173913043,LYRICS_SIMI,33.6793
4.818181818,LYRICS_SIMI,20.1571
2.130434783,LYRICS_SIMI,70.9559
,LYRICS_SIMI,6.6024
3.318181818,LYRICS_SIMI,32.8293
2.181818182,LYRICS_SIMI,0.4618
1.52173913,LYRICS_SIMI,88.9442
2.826086957,LYRICS_SIMI,48.3421
2.695652174,LYRICS_SIMI,31.7829
1.52173913,LYRICS_SIMI,10.9681
2.782608696,LYRICS_SIMI,73.3134
1.608695652,LYRICS_SIMI,18.9311
2,LYRICS_SIMI,35.3638
1.52173913,LYRICS_SIMI,72.3328
,LYRICS_SIMI,9.1901
3.869565217,LYRICS_SIMI,33.2836
1.913043478,LYRICS_SIMI,72.4676
1.55,LYRICS_SIMI,64.8949
,LYRICS_SIMI,14.1962
1.608695652,LYRICS_SIMI,8.4194
,LYRICS_SIMI,14.1512
1.347826087,LYRICS_SIMI,43.0211
,LYRICS_SIMI,7.2387
2.217391304,LYRICS_SIMI,96.29422
1.695652174,LYRICS_SIMI,48.7948
2.347826087,LYRICS_SIMI,72.9005
1.727272727,LYRICS_SIMI,70.448
1.545454545,LYRICS_SIMI,10.7535
1.636363636,LYRICS_SIMI,30.7863
