,Musly-calculated Similarity
1,56.5226
2,79.0443
3,73.3448
4,29.3023
5,16.7411
6,84.6419
7,51.7859
8,4.7242
9,11.3275
10,80.927
11,81.3652
12,33.6793
13,20.1571
14,70.9559
15,6.6024
16,32.8293
17,0.4618
18,88.9442
19,48.3421
20,31.7829
21,10.9681
22,73.3134
23,18.9311
24,35.3638
25,72.3328
26,9.1901
27,33.2836
28,72.4676
29,64.8949
30,14.1962
31,8.4194
32,14.1512
33,43.0211
34,7.2387
35,96.29422
36,48.7948
37,72.9005
38,70.448
39,10.7535
40,30.7863
